"NO.","FUNC","DATA","UNIT","TIME"
239,"TYPE T","OL/101.0","K","2024/10/25\12:33:20"
240,"TYPE T","OL/101.0","K","2024/10/25\12:33:21"
241,"TYPE T","OL/101.0","K","2024/10/25\12:33:21"
242,"TYPE T","OL/100.9","K","2024/10/25\12:33:22"
243,"TYPE T","OL/100.9","K","2024/10/25\12:33:23"
244,"TYPE T","OL/100.9","K","2024/10/25\12:33:23"
245,"TYPE T","OL/100.9","K","2024/10/25\12:33:24"
246,"TYPE T","OL/100.9","K","2024/10/25\12:33:24"
247,"TYPE T","OL/100.8","K","2024/10/25\12:33:25"
248,"TYPE T","OL/100.8","K","2024/10/25\12:33:26"
249,"TYPE T","OL/100.8","K","2024/10/25\12:33:26"
250,"TYPE T","OL/100.7","K","2024/10/25\12:33:27"
251,"TYPE T","OL/100.7","K","2024/10/25\12:33:27"
252,"TYPE T","OL/100.7","K","2024/10/25\12:33:28"
253,"TYPE T","OL/100.6","K","2024/10/25\12:33:29"
254,"TYPE T","OL/100.6","K","2024/10/25\12:33:29"
255,"TYPE T","OL/100.6","K","2024/10/25\12:33:30"
256,"TYPE T","OL/100.6","K","2024/10/25\12:33:30"
257,"TYPE T","OL/100.6","K","2024/10/25\12:33:31"
258,"TYPE T","OL/100.6","K","2024/10/25\12:33:32"
259,"TYPE T","OL/100.5","K","2024/10/25\12:33:32"
260,"TYPE T","OL/100.5","K","2024/10/25\12:33:33"
261,"TYPE T","OL/100.6","K","2024/10/25\12:33:33"
262,"TYPE T","OL/100.6","K","2024/10/25\12:33:34"
263,"TYPE T","OL/100.5","K","2024/10/25\12:33:35"
264,"TYPE T","OL/100.5","K","2024/10/25\12:33:35"
265,"TYPE T","OL/100.5","K","2024/10/25\12:33:36"
266,"TYPE T","OL/100.4","K","2024/10/25\12:33:36"
267,"TYPE T","OL/100.4","K","2024/10/25\12:33:37"
268,"TYPE T","OL/100.4","K","2024/10/25\12:33:38"
269,"TYPE T","OL/100.3","K","2024/10/25\12:33:38"
270,"TYPE T","OL/100.3","K","2024/10/25\12:33:39"
271,"TYPE T","OL/100.3","K","2024/10/25\12:33:39"
272,"TYPE T","OL/100.2","K","2024/10/25\12:33:40"
273,"TYPE T","OL/100.2","K","2024/10/25\12:33:40"
274,"TYPE T","OL/100.3","K","2024/10/25\12:33:41"
275,"TYPE T","OL/100.2","K","2024/10/25\12:33:42"
276,"TYPE T","OL/100.2","K","2024/10/25\12:33:42"
277,"TYPE T","OL/100.2","K","2024/10/25\12:33:43"
278,"TYPE T","OL/100.2","K","2024/10/25\12:33:43"
279,"TYPE T","OL/100.2","K","2024/10/25\12:33:44"
280,"TYPE T","OL/100.1","K","2024/10/25\12:33:45"
281,"TYPE T","OL/100.2","K","2024/10/25\12:33:45"
282,"TYPE T","OL/100.2","K","2024/10/25\12:33:46"
283,"TYPE T","OL/100.2","K","2024/10/25\12:33:46"
284,"TYPE T","OL/100.1","K","2024/10/25\12:33:47"
285,"TYPE T","OL/100.1","K","2024/10/25\12:33:48"
286,"TYPE T","OL/100.1","K","2024/10/25\12:33:48"
287,"TYPE T","OL/100.1","K","2024/10/25\12:33:49"
288,"TYPE T","OL/100.1","K","2024/10/25\12:33:49"
289,"TYPE T","OL/100.1","K","2024/10/25\12:33:50"
290,"TYPE T","OL/100.1","K","2024/10/25\12:33:51"
291,"TYPE T","OL/100.0","K","2024/10/25\12:33:51"
292,"TYPE T","OL/100.0","K","2024/10/25\12:33:52"
293,"TYPE T","OL/99.9","K","2024/10/25\12:33:52"
294,"TYPE T","OL/99.9","K","2024/10/25\12:33:53"
295,"TYPE T","OL/99.9","K","2024/10/25\12:33:54"
296,"TYPE T","OL/99.9","K","2024/10/25\12:33:54"
297,"TYPE T","OL/99.9","K","2024/10/25\12:33:55"
298,"TYPE T","OL/99.9","K","2024/10/25\12:33:55"
