2024-10-25,11:29:22,Sample Rate(S):,0.500
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
8.0635500000e-09,-1.6810800000e-08,1.8645200000e-08,-6.4375000000e+01,5.1660000000e+03,8.8037700000e-09,7.4171600000e-09,1.7164200000e-08,1.8699100000e-08,6.8794000000e+01,2.8318400000e-09,1.8594100000e-08,1.9021200000e-08,8.3913000000e+01,2.0880000000e+00,2.0900000000e+00,2.0840000000e+00,2.0790000000e+00
9.1712200000e-09,-1.4127000000e-08,1.6843100000e-08,-5.7795000000e+01,5.1660000000e+03,7.2246600000e-09,5.5794200000e-09,1.6669300000e-08,1.8922500000e-08,6.9815000000e+01,2.5152700000e-09,1.8754200000e-08,1.9484900000e-08,8.1427000000e+01,2.0870000000e+00,2.0900000000e+00,2.0870000000e+00,2.0870000000e+00
-1.1760600000e-09,2.6736700000e-08,2.6762700000e-08,9.3280000000e+01,5.1660000000e+03,7.2716700000e-09,-2.0888900000e-08,-1.9187700000e-08,3.1200400000e-08,-1.3557800000e+02,-1.7006900000e-08,-2.6157200000e-08,3.2643700000e-08,-1.2209100000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-3.8258600000e-08,8.7564500000e-09,3.9248000000e-08,1.6710800000e+02,5.1660000000e+03,8.6675800000e-09,1.7597200000e-08,-3.6203700000e-08,4.0253900000e-08,-6.4427000000e+01,2.5376000000e-08,-3.2340300000e-08,4.2184400000e-08,-5.2569000000e+01,2.0870000000e+00,2.0900000000e+00,2.0880000000e+00,2.0890000000e+00
-2.6527200000e-08,-2.3407600000e-08,3.5378400000e-08,-1.3857500000e+02,5.1660000000e+03,8.0512100000e-09,3.3857300000e-08,-4.8031900000e-09,3.4196300000e-08,-7.7980000000e+00,3.3370100000e-08,2.7719600000e-09,3.2715300000e-08,4.9070000000e+00,2.0870000000e+00,2.0870000000e+00,2.0870000000e+00,2.0870000000e+00
-4.3375900000e-08,-1.3486600000e-08,4.5424300000e-08,-1.6244600000e+02,5.1660000000e+03,7.7931800000e-09,3.9241100000e-08,-2.5636300000e-08,4.8317400000e-08,-3.3064000000e+01,4.5252400000e-08,-1.6935200000e-08,4.9674700000e-08,-2.0675000000e+01,2.0870000000e+00,2.0870000000e+00,2.0880000000e+00,2.0790000000e+00
-1.5463100000e-08,5.0649900000e-08,5.2958100000e-08,1.0697700000e+02,5.1660000000e+03,7.3770600000e-09,-2.9674600000e-08,-4.5581800000e-08,5.6337000000e-08,-1.2202500000e+02,-1.8785800000e-08,-5.3112500000e-08,5.6834000000e-08,-1.0897200000e+02,2.0870000000e+00,2.0880000000e+00,2.0840000000e+00,2.0790000000e+00
-4.2350600000e-08,1.2372500000e-08,4.4122200000e-08,1.6537200000e+02,5.1660000000e+03,6.5677600000e-09,1.8714900000e-08,-4.0762200000e-08,4.5412800000e-08,-6.3471000000e+01,2.8624900000e-08,-3.5253000000e-08,4.5727000000e-08,-4.8966000000e+01,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
1.3805500000e-08,1.6165600000e-08,2.1258400000e-08,4.9135000000e+01,5.1660000000e+03,6.5199100000e-09,-2.0927700000e-08,5.7598100000e-10,2.0648500000e-08,1.7776400000e+02,-2.0314800000e-08,-3.6952300000e-09,2.0326200000e-08,-1.7029700000e+02,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0870000000e+00
1.5220100000e-08,4.3046000000e-08,4.5658100000e-08,7.0528000000e+01,5.1660000000e+03,6.3810800000e-09,-4.2975300000e-08,-1.4745400000e-08,4.5213500000e-08,-1.6175800000e+02,-3.8841300000e-08,-2.3143100000e-08,4.5021800000e-08,-1.4966500000e+02,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-4.4767000000e-09,2.9290000000e-09,5.3551800000e-09,1.4680400000e+02,5.1660000000e+03,6.3609700000e-09,1.4650400000e-09,-5.8707000000e-09,8.1639200000e-09,-6.3475000000e+01,5.1436000000e-09,-6.3353800000e-09,9.6166100000e-09,-4.5357000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
