2024-10-25,12:31:02,Sample Rate(S):,0.400
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
1.3587900000e-08,1.9286000000e-09,1.3724200000e-08,6.7920000000e+00,5.1660000000e+03,6.6893200000e-09,-1.0147800000e-08,8.1007900000e-09,1.2612700000e-08,1.4071500000e+02,-1.1263600000e-08,5.6412900000e-09,1.2239500000e-08,1.5183900000e+02,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
7.7737800000e-09,6.9417800000e-09,1.0422100000e-08,4.1764000000e+01,5.1660000000e+03,6.6740300000e-09,-1.0637300000e-08,7.6798100000e-10,1.0902100000e-08,1.7537300000e+02,-1.0798100000e-08,-1.4407500000e-09,1.1131000000e-08,-1.7256300000e+02,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
1.0121900000e-08,1.1649900000e-08,1.5432900000e-08,4.9255000000e+01,5.1660000000e+03,6.3429400000e-09,-1.5528600000e-08,-1.0484900000e-09,1.5600400000e-08,-1.7606800000e+02,-1.4959900000e-08,-4.4399900000e-09,1.5618700000e-08,-1.6348500000e+02,2.0890000000e+00,2.0880000000e+00,2.0880000000e+00,2.0810000000e+00
-1.0668600000e-08,-2.7709200000e-09,1.1022600000e-08,-1.6560600000e+02,5.1660000000e+03,5.6134100000e-09,9.4576200000e-09,-5.6822600000e-09,1.1041800000e-08,-3.1074000000e+01,1.0469500000e-08,-3.5063600000e-09,1.1047900000e-08,-1.8504000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-1.1386000000e-08,8.4678700000e-09,1.4189600000e-08,1.4340700000e+02,5.1660000000e+03,5.5918200000e-09,2.0132700000e-09,-1.4300600000e-08,1.4698100000e-08,-8.1930000000e+01,5.1748900000e-09,-1.4225300000e-08,1.5214300000e-08,-6.9227000000e+01,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
7.8440400000e-10,-1.0164800000e-08,1.0195700000e-08,-8.7751000000e+01,5.1660000000e+03,5.5806300000e-09,7.0638800000e-09,7.5371400000e-09,1.0463500000e-08,4.4705000000e+01,5.6601400000e-09,8.5575700000e-09,1.0719000000e-08,5.2978000000e+01,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0870000000e+00
5.1708000000e-09,5.6680200000e-09,7.6727900000e-09,4.7627000000e+01,5.1660000000e+03,4.8065100000e-09,-7.8682900000e-09,4.2340800000e-14,7.8687500000e-09,1.7792300000e+02,-7.9477500000e-09,-1.4684200000e-09,8.3102900000e-09,-1.7146900000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-9.9595900000e-10,1.5067300000e-08,1.5100200000e-08,9.3782000000e+01,5.1660000000e+03,4.7304500000e-09,-9.7394600000e-09,-1.0839900000e-08,1.4036600000e-08,-1.3229400000e+02,-6.9651600000e-09,-1.1667700000e-08,1.3492400000e-08,-1.2014500000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
2.9071400000e-09,-8.8227900000e-10,3.0381500000e-09,-1.6882000000e+01,5.1660000000e+03,3.9705800000e-09,-1.3671800000e-09,2.7649100000e-09,3.1303000000e-09,1.1491200000e+02,-1.9036200000e-09,2.4849200000e-09,3.2193700000e-09,1.2467600000e+02,2.0860000000e+00,2.0880000000e+00,2.0840000000e+00,2.0790000000e+00
1.2998300000e-08,3.2620200000e-09,1.3401400000e-08,1.4602000000e+01,5.1660000000e+03,4.1197200000e-09,-1.1614900000e-08,6.9210800000e-09,1.3566900000e-08,1.4946900000e+02,-1.2903800000e-08,4.1426500000e-09,1.3607000000e-08,1.6227500000e+02,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
