"NO.","FUNC","DATA","UNIT","TIME"
203,"TYPE T","OL/300.3","K","2024/10/25\9:09:39"
204,"TYPE T","OL/300.3","K","2024/10/25\9:09:40"
205,"TYPE T","OL/300.3","K","2024/10/25\9:09:40"
206,"TYPE T","OL/300.3","K","2024/10/25\9:09:41"
207,"TYPE T","OL/300.3","K","2024/10/25\9:09:42"
208,"TYPE T","OL/300.3","K","2024/10/25\9:09:42"
209,"TYPE T","OL/300.3","K","2024/10/25\9:09:43"
210,"TYPE T","OL/300.3","K","2024/10/25\9:09:43"
211,"TYPE T","OL/300.3","K","2024/10/25\9:09:44"
212,"TYPE T","OL/300.3","K","2024/10/25\9:09:44"
213,"TYPE T","OL/300.3","K","2024/10/25\9:09:45"
214,"TYPE T","OL/300.3","K","2024/10/25\9:09:46"
215,"TYPE T","OL/300.3","K","2024/10/25\9:09:46"
216,"TYPE T","OL/300.3","K","2024/10/25\9:09:47"
217,"TYPE T","OL/300.3","K","2024/10/25\9:09:47"
218,"TYPE T","OL/300.3","K","2024/10/25\9:09:48"
219,"TYPE T","OL/300.3","K","2024/10/25\9:09:49"
220,"TYPE T","OL/300.3","K","2024/10/25\9:09:49"
221,"TYPE T","OL/300.3","K","2024/10/25\9:09:50"
222,"TYPE T","OL/300.3","K","2024/10/25\9:09:50"
223,"TYPE T","OL/300.3","K","2024/10/25\9:09:51"
224,"TYPE T","OL/300.3","K","2024/10/25\9:09:52"
225,"TYPE T","OL/300.3","K","2024/10/25\9:09:52"
226,"TYPE T","OL/300.3","K","2024/10/25\9:09:53"
227,"TYPE T","OL/300.3","K","2024/10/25\9:09:53"
228,"TYPE T","OL/300.3","K","2024/10/25\9:09:54"
229,"TYPE T","OL/300.3","K","2024/10/25\9:09:55"
230,"TYPE T","OL/300.3","K","2024/10/25\9:09:55"
231,"TYPE T","OL/300.3","K","2024/10/25\9:09:56"
232,"TYPE T","OL/300.3","K","2024/10/25\9:09:56"
233,"TYPE T","OL/300.4","K","2024/10/25\9:09:57"
234,"TYPE T","OL/300.4","K","2024/10/25\9:09:57"
235,"TYPE T","OL/300.3","K","2024/10/25\9:09:58"
236,"TYPE T","OL/300.4","K","2024/10/25\9:09:59"
237,"TYPE T","OL/300.4","K","2024/10/25\9:09:59"
238,"TYPE T","OL/300.4","K","2024/10/25\9:10:00"
239,"TYPE T","OL/300.4","K","2024/10/25\9:10:00"
240,"TYPE T","OL/300.4","K","2024/10/25\9:10:01"
241,"TYPE T","OL/300.4","K","2024/10/25\9:10:02"
242,"TYPE T","OL/300.4","K","2024/10/25\9:10:02"
243,"TYPE T","OL/300.4","K","2024/10/25\9:10:03"
244,"TYPE T","OL/300.4","K","2024/10/25\9:10:03"
245,"TYPE T","OL/300.4","K","2024/10/25\9:10:04"
246,"TYPE T","OL/300.4","K","2024/10/25\9:10:05"
247,"TYPE T","OL/300.4","K","2024/10/25\9:10:05"
248,"TYPE T","OL/300.4","K","2024/10/25\9:10:06"
249,"TYPE T","OL/300.4","K","2024/10/25\9:10:06"
250,"TYPE T","OL/300.3","K","2024/10/25\9:10:07"
251,"TYPE T","OL/300.3","K","2024/10/25\9:10:08"
252,"TYPE T","OL/300.3","K","2024/10/25\9:10:08"
253,"TYPE T","OL/300.3","K","2024/10/25\9:10:09"
254,"TYPE T","OL/300.3","K","2024/10/25\9:10:09"
255,"TYPE T","OL/300.3","K","2024/10/25\9:10:10"
256,"TYPE T","OL/300.3","K","2024/10/25\9:10:10"
257,"TYPE T","OL/300.3","K","2024/10/25\9:10:11"
258,"TYPE T","OL/300.3","K","2024/10/25\9:10:12"
259,"TYPE T","OL/300.3","K","2024/10/25\9:10:12"
260,"TYPE T","OL/300.4","K","2024/10/25\9:10:13"
261,"TYPE T","OL/300.3","K","2024/10/25\9:10:13"
262,"TYPE T","OL/300.4","K","2024/10/25\9:10:14"
263,"TYPE T","OL/300.4","K","2024/10/25\9:10:15"
264,"TYPE T","OL/300.4","K","2024/10/25\9:10:15"
265,"TYPE T","OL/300.4","K","2024/10/25\9:10:16"
266,"TYPE T","OL/300.4","K","2024/10/25\9:10:16"
267,"TYPE T","OL/300.4","K","2024/10/25\9:10:17"
268,"TYPE T","OL/300.4","K","2024/10/25\9:10:18"
269,"TYPE T","OL/300.4","K","2024/10/25\9:10:18"
270,"TYPE T","OL/300.4","K","2024/10/25\9:10:19"
271,"TYPE T","OL/300.4","K","2024/10/25\9:10:19"
272,"TYPE T","OL/300.4","K","2024/10/25\9:10:20"
273,"TYPE T","OL/300.4","K","2024/10/25\9:10:21"
274,"TYPE T","OL/300.3","K","2024/10/25\9:10:21"
